Mediciones
0.96
1.63
1.12
1.15
1.27
1.02
1.21
1.4
1.2
1.3
1.48
1.03
1.37
0.92
1.21
1.17
0.99
1.33
1.2
1.18
1.04
1.37
1.18
1.17
1.33
1.16
1.31
1.12
1.3
0.97
1.33
1.11
0.9
0.86
0.93
0.98
1.13
1.28
1.12
1.28
1.08
1.13
1.12
0.97
1.04
0.91
1.13
1.11
0.98
1.25
1.05
1.29
1.15
1.08
1.04
1.21
1.02
1.27
1.31
1.22
1.01
1.09
1.05
0.98
1.1
1.05
1.04
0.93
1.13
1
0.87
1.08
1.06
1.33
1.07
0.95
0.87
1.01
1.26
1.01
1.13
0.88
1.06
1.14
1.07
0.84
0.94
1.21
1.41
1.06
1.14
1.06
0.88
1.07
1.07
0.88
1.06
0.95
1.27
1.08
