time,(V)
0.000000,3.575610E-1
0.005000,3.650940E-1
0.010000,3.550500E-1
0.015000,3.575610E-1
0.020000,3.575610E-1
0.025000,3.500280E-1
0.030000,3.575610E-1
0.035000,3.625830E-1
0.040000,3.500280E-1
0.045000,3.650940E-1
0.050000,3.525390E-1
0.055000,3.600720E-1
0.060000,3.650940E-1
0.065000,3.500280E-1
0.070000,3.600720E-1
0.075000,3.650940E-1
0.080000,3.525390E-1
0.085000,3.600720E-1
0.090000,3.575610E-1
0.095000,3.500280E-1
0.100000,3.650940E-1
0.105000,3.600720E-1
0.110000,3.600720E-1
0.115000,3.600720E-1
0.120000,3.575610E-1
0.125000,3.600720E-1
0.130000,3.550500E-1
0.135000,3.575610E-1
0.140000,3.625830E-1
0.145000,3.525390E-1
0.150000,3.650940E-1
0.155000,3.525390E-1
0.160000,3.600720E-1
0.165000,3.625830E-1
0.170000,3.500280E-1
0.175000,3.650940E-1
0.180000,3.575610E-1
0.185000,3.550500E-1
0.190000,3.575610E-1
0.195000,3.575610E-1
0.200000,3.600720E-1
0.205000,3.575610E-1
0.210000,3.575610E-1
0.215000,3.575610E-1
0.220000,3.625830E-1
0.225000,3.525390E-1
0.230000,3.575610E-1
0.235000,3.575610E-1
0.240000,3.525390E-1
0.245000,3.625830E-1
0.250000,3.575610E-1
0.255000,3.575610E-1
0.260000,3.625830E-1
0.265000,3.525390E-1
0.270000,3.650940E-1
0.275000,3.575610E-1
0.280000,3.575610E-1
0.285000,3.550500E-1
0.290000,3.600720E-1
0.295000,3.575610E-1
0.300000,3.575610E-1
0.305000,3.600720E-1
0.310000,3.575610E-1
0.315000,3.625830E-1
0.320000,3.525390E-1
0.325000,3.625830E-1
0.330000,3.500280E-1
0.335000,3.575610E-1
0.340000,3.600720E-1
0.345000,3.600720E-1
0.350000,3.600720E-1
0.355000,3.600720E-1
0.360000,3.600720E-1
0.365000,3.550500E-1
0.370000,3.650940E-1
0.375000,3.575610E-1
0.380000,3.575610E-1
0.385000,3.650940E-1
0.390000,3.550500E-1
0.395000,3.676050E-1
0.400000,3.600720E-1
0.405000,3.575610E-1
0.410000,3.625830E-1
0.415000,3.550500E-1
0.420000,3.625830E-1
0.425000,3.550500E-1
0.430000,3.625830E-1
0.435000,3.550500E-1
0.440000,3.650940E-1
0.445000,3.575610E-1
0.450000,3.676050E-1
0.455000,3.550500E-1
0.460000,3.625830E-1
0.465000,3.600720E-1
0.470000,3.575610E-1
0.475000,3.625830E-1
0.480000,3.600720E-1
0.485000,3.600720E-1
0.490000,3.600720E-1
0.495000,3.600720E-1
0.500000,3.676050E-1
0.505000,3.625830E-1
0.510000,3.600720E-1
0.515000,3.650940E-1
0.520000,3.600720E-1
0.525000,3.575610E-1
0.530000,3.625830E-1
0.535000,3.600720E-1
0.540000,3.575610E-1
0.545000,3.650940E-1
0.550000,3.575610E-1
0.555000,3.600720E-1
0.560000,3.600720E-1
0.565000,3.550500E-1
0.570000,3.650940E-1
0.575000,3.600720E-1
0.580000,3.600720E-1
0.585000,3.600720E-1
0.590000,3.600720E-1
0.595000,3.600720E-1
0.600000,3.600720E-1
0.605000,3.650940E-1
0.610000,3.525390E-1
0.615000,3.600720E-1
0.620000,3.600720E-1
0.625000,3.625830E-1
0.630000,3.676050E-1
0.635000,3.550500E-1
0.640000,3.650940E-1
0.645000,3.600720E-1
