time,(N)
0.000000,2.705855E+2
0.005000,2.696783E+2
0.010000,2.700574E+2
0.015000,2.702064E+2
0.020000,2.706532E+2
0.025000,2.705990E+2
0.030000,2.704366E+2
0.035000,2.709917E+2
0.040000,2.715062E+2
0.045000,2.710459E+2
0.050000,2.713302E+2
0.055000,2.717635E+2
0.060000,2.717364E+2
0.065000,2.722374E+2
0.070000,2.716687E+2
0.075000,2.724134E+2
0.080000,2.727113E+2
0.085000,2.731581E+2
0.090000,2.721562E+2
0.095000,2.727384E+2
0.100000,2.723863E+2
0.105000,2.724947E+2
0.110000,2.722916E+2
0.115000,2.719395E+2
0.120000,2.727384E+2
0.125000,2.727248E+2
0.130000,2.723322E+2
0.135000,2.719260E+2
0.140000,2.722239E+2
0.145000,2.723322E+2
0.150000,2.721562E+2
0.155000,2.717635E+2
0.160000,2.714385E+2
0.165000,2.718041E+2
0.170000,2.717770E+2
0.175000,2.718989E+2
0.180000,2.716416E+2
0.185000,2.717635E+2
0.190000,2.720208E+2
0.195000,2.716416E+2
0.200000,2.717906E+2
0.205000,2.711271E+2
0.210000,2.715875E+2
0.215000,2.712083E+2
0.220000,2.708563E+2
0.225000,2.702199E+2
0.230000,2.704095E+2
0.235000,2.699897E+2
0.240000,2.700033E+2
0.245000,2.688930E+2
0.250000,2.685274E+2
0.255000,2.675661E+2
0.260000,2.662256E+2
0.265000,2.646414E+2
0.270000,2.625021E+2
0.275000,2.589410E+2
0.280000,2.550821E+2
0.285000,2.506680E+2
0.290000,2.476756E+2
0.295000,2.423138E+2
0.300000,2.360718E+2
0.305000,2.278529E+2
0.310000,2.202976E+2
0.315000,2.125932E+2
0.320000,2.055795E+2
0.325000,1.990667E+2
0.330000,1.925945E+2
0.335000,1.869483E+2
0.340000,1.808552E+2
0.345000,1.754527E+2
0.350000,1.704158E+2
0.355000,1.644988E+2
0.360000,1.592858E+2
0.365000,1.545874E+2
0.370000,1.479934E+2
0.375000,1.418868E+2
0.380000,1.357396E+2
0.385000,1.294570E+2
0.390000,1.224568E+2
0.395000,1.150774E+2
0.400000,1.089302E+2
0.405000,1.028101E+2
0.410000,9.815227E+1
0.415000,9.475370E+1
0.420000,9.136868E+1
0.425000,8.899916E+1
0.430000,8.680566E+1
0.435000,8.642654E+1
0.440000,8.557351E+1
0.445000,8.515377E+1
0.450000,8.430074E+1
0.455000,8.472048E+1
0.460000,8.481526E+1
0.465000,8.509961E+1
0.470000,8.503191E+1
0.475000,8.616927E+1
